タイトル,住所,dslurl,Webサイト,電話番号,営業時間,rental,longitude,latitude,pref,primary_station,distance_to_primary_station_m,candidate_stations,station_count,ward,primary_area,candidate_areas,article_tags,is_partner
EMI HULA STUDIO,,,https://edogawa.mypl.net/shop/00000364787/,090-4918-2940,"LGBTQ フレンドリー2024-02-29 木曜日 10時00分～11時10分
2024-03-01 金曜日 10時00分～11時10分
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 定休日
2024-03-05 火曜日 10時00分～11時10分
2024-03-06 水曜日 10時00分～11時10分
",1,35.692756,139.8760198,東京,なし,,,0,その他,その他,その他,feature:24h,
emotionS Dance Studio,〒180-0006 東京都武蔵野市中町１丁目２５?１０ 三祐ビル B1F,,http://dance-studio-emotions.com/,080-9215-5325,"2024-02-29 木曜日 10時00分～22時30分
2024-03-01 金曜日 10時00分～22時30分
2024-03-02 土曜日 10時00分～22時30分
2024-03-03 日曜日 10時00分～22時30分
2024-03-04 月曜日 10時00分～22時30分
2024-03-05 火曜日 10時00分～22時30分
2024-03-06 水曜日 10時00分～22時30分
",1,35.7031031,139.5629224,東京,三鷹駅,220,三鷹駅,1,武蔵野市,吉祥寺,吉祥寺,area:吉祥寺|station:三鷹駅|feature:24h,
ENERGY DANCE STUDIO,〒354-0018 埼玉県富士見市西みずほ台１丁目２２?１１ テル・ビル 1F,,http://energy-dance.net/,049-257-4732,"2024-02-29 木曜日 9時00分～23時00分
2024-03-01 金曜日 9時00分～23時00分
2024-03-02 土曜日 9時00分～23時00分
2024-03-03 日曜日 9時00分～23時00分
2024-03-04 月曜日 9時00分～23時00分
2024-03-05 火曜日 9時00分～23時00分
2024-03-06 水曜日 9時00分～23時00分
",1,35.8363801,139.5484005,東京,なし,,,0,その他,その他,その他,feature:24h,
ヨガ&ピラティス｜くろねこスタジオ大森｜レンタルスタジオ,〒143-0016 東京都大田区大森北４丁目８?９ 203,,https://www.spacemarket.com/spaces/lekmbl-dcsse1bqa/,,"2024-02-29 木曜日 5時00分～0時00分
2024-03-01 金曜日 5時00分～0時00分
2024-03-02 土曜日 5時00分～0時00分
2024-03-03 日曜日 5時00分～0時00分
2024-03-04 月曜日 5時00分～0時00分
2024-03-05 火曜日 5時00分～0時00分
2024-03-06 水曜日 5時00分～0時00分
",1,35.5845502,139.729538,東京,なし,,,0,大田区,蒲田,蒲田,area:蒲田|feature:24h,
Estudio ILIA FLAMENCA,〒101-0051 東京都千代田区神田神保町１丁目２５?４ 神保町ビル B1 SH神田南,,https://www.ilia-f.com/,03-5577-6818,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 19時00分～20時00分
2024-03-01 金曜日 定休日
2024-03-02 土曜日 定休日
2024-03-03 日曜日 11時00分～15時00分
2024-03-04 月曜日 18時00分～21時00分
2024-03-05 火曜日 定休日
2024-03-06 水曜日 19時00分～21時00分
",1,35.6949827,139.7605065,東京,なし,,,0,千代田区,秋葉原,秋葉原,area:秋葉原|feature:24h,
ETCダンススクール 金町校,〒125-0041 東京都葛飾区東金町１丁目４１?４ 金町中央ビル 2F,,https://www.e-t-c.net/kanamachi/,03-3600-1355,"2024-02-29 木曜日 15時00分～22時00分
2024-03-01 金曜日 15時00分～22時00分
2024-03-02 土曜日 11時00分～22時00分
2024-03-03 日曜日 10時30分～13時00分
2024-03-04 月曜日 15時00分～22時00分
2024-03-05 火曜日 15時00分～22時00分
2024-03-06 水曜日 15時00分～22時00分
",1,35.7705707,139.8717864,東京,なし,,,0,葛飾区,新小岩,新小岩,area:新小岩|feature:24h,
ETCダンススクール 町田校,〒194-0022 東京都町田市森野１丁目１５?１２ 長谷川ビル 1F,,https://www.e-t-c.net/machida/,042-720-1855,"2024-02-29 木曜日 10時00分～22時00分
2024-03-01 金曜日 10時00分～22時00分
2024-03-02 土曜日 9時00分～21時00分
2024-03-03 日曜日 9時00分～20時00分
2024-03-04 月曜日 10時00分～23時00分
2024-03-05 火曜日 15時00分～23時00分
2024-03-06 水曜日 10時00分～22時00分
",1,35.5433569,139.4437127,東京,町田駅,279,町田駅,1,町田市,町田,町田,area:町田|station:町田駅|feature:24h,
ETCダンススクール池袋校,〒170-0014 東京都豊島区池袋２丁目５５?１１,,https://www.e-t-c.net/ikebukuro/,03-5950-1355,"2024-02-29 木曜日 15時00分～22時00分
2024-03-01 金曜日 15時00分～22時00分
2024-03-02 土曜日 10時00分～22時00分
2024-03-03 日曜日 12時00分～19時00分
2024-03-04 月曜日 15時00分～22時00分
2024-03-05 火曜日 15時00分～22時00分
2024-03-06 水曜日 定休日
",1,35.7342921,139.7081253,東京,池袋駅,630,池袋駅,1,豊島区,池袋,池袋|目白|大塚|巣鴨,area:池袋|station:池袋駅|feature:24h,
ETERNAL DANCE STUDIO,〒197-0022 東京都福生市本町１４２ ２Ｆ,,http://eternal-st.com/,042-513-0280,"LGBTQ フレンドリー2024-02-29 木曜日 12時30分～13時30分
2024-03-01 金曜日 17時00分～19時30分
2024-03-02 土曜日 13時00分～21時10分
2024-03-03 日曜日 17時00分～20時50分
2024-03-04 月曜日 17時30分～21時10分
2024-03-05 火曜日 17時50分～21時30分
2024-03-06 水曜日 17時45分～21時10分
",1,35.7414941,139.3274273,東京,なし,,,0,福生市,福生,福生,area:福生|feature:24h,
EXスタジオ麹町,〒102-0083 東京都千代田区麹町２丁目２?４ 麹町セントラルビル 5階,,https://exstudio.pro/,050-1743-6868,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6845112,139.7409392,東京,なし,,,0,千代田区,秋葉原,秋葉原,area:秋葉原|feature:24h,
EyeCandyポールダンス秋葉原スタジオ,〒101-0021 東京都千代田区外神田２丁目１?１３,,http://www.eyecandypole.com/,03-3525-4890,"LGBTQ フレンドリー2024-02-29 木曜日 11時00分～22時00分
2024-03-01 金曜日 11時00分～22時00分
2024-03-02 土曜日 11時00分～22時00分
2024-03-03 日曜日 11時00分～22時00分
2024-03-04 月曜日 11時00分～22時00分
2024-03-05 火曜日 11時00分～22時00分
2024-03-06 水曜日 11時00分～22時00分
",1,35.698958,139.768202,東京,秋葉原駅,544,秋葉原駅,1,千代田区,秋葉原,秋葉原,area:秋葉原|station:秋葉原駅|feature:24h,
F1 STUDIO,〒136-0082 東京都江東区新木場１丁目３?１３,,https://handoff-all.jp/,03-6457-0310,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6446578,139.824273,東京,なし,,,0,江東区,豊洲,豊洲,area:豊洲|feature:24h,
FACTORYカレッタスタジオ,〒105-7001 東京都港区東新橋１丁目８?１ B2 カレッタスタジオ,,https://www.cube-factory.jp/caretta/,03-6216-9710,"2024-02-29 木曜日 9時30分～18時30分
2024-03-01 金曜日 9時30分～18時30分
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 9時30分～18時30分
2024-03-05 火曜日 9時30分～18時30分
2024-03-06 水曜日 9時30分～18時30分
",1,35.6649292,139.7622188,東京,新橋駅,354,新橋駅|有楽町駅|浜松町駅,3,港区,六本木,六本木|赤坂|麻布|新橋,area:六本木|station:新橋駅|station:有楽町駅|station:浜松町駅|feature:24h,
Fairy Ballet Studio,〒189-0022 東京都東村山市野口町１丁目３?３ アドヴァンス東村山 ３F,,https://www.fairy-ballet.net/,080-2331-6323,,1,35.7624356,139.46546,東京,なし,,,0,東村山市,東村山,東村山,area:東村山,
FANTASY DANCE SCHOOL 八王子店,〒192-0904 東京都八王子市子安町１丁目２６?１４ 26-14 301,,https://www.dance-hachioji.com/,042-401-8781,"2024-02-29 木曜日 10時00分～22時00分
2024-03-01 金曜日 10時00分～22時00分
2024-03-02 土曜日 10時00分～22時00分
2024-03-03 日曜日 10時00分～22時00分
2024-03-04 月曜日 10時00分～22時00分
2024-03-05 火曜日 10時00分～22時00分
2024-03-06 水曜日 10時00分～22時00分
",1,35.6528788,139.3415526,東京,八王子駅,389,八王子駅,1,八王子市,八王子,八王子,area:八王子|station:八王子駅|feature:24h,
TONIC DANCE STUDIO 吉祥寺,〒180-0002 東京都武蔵野市吉祥寺東町１丁目１０?２１ 地下1階 西郊ビル,,https://www.tonicdancestudio.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.706008,139.5824148,東京,吉祥寺駅,393,吉祥寺駅,1,武蔵野市,吉祥寺,吉祥寺,area:吉祥寺|station:吉祥寺駅|feature:24h,
LIMITED Creaation. dance studio,〒180-0004 東京都武蔵野市１丁目２４?７ 吉祥寺光ビル 6F 吉祥寺,,https://limited-studio.com/,,"2024-02-29 木曜日 18時00分～22時00分
2024-03-01 金曜日 18時00分～22時00分
2024-03-02 土曜日 12時00分～22時00分
2024-03-03 日曜日 10時30分～22時00分
2024-03-04 月曜日 定休日
2024-03-05 火曜日 18時00分～22時00分
2024-03-06 水曜日 15時00分～22時00分
",1,35.703487,139.5814103,東京,吉祥寺駅,146,吉祥寺駅,1,武蔵野市,吉祥寺,吉祥寺,area:吉祥寺|station:吉祥寺駅|feature:24h,
レンタルスタジオ吉祥寺OLI（オリ）,〒180-0003 東京都武蔵野市吉祥寺南町２丁目２０?１ 吉祥寺オリンピックマンション B8,,https://www.rentalstudio-oli.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.7007524,139.5842063,東京,吉祥寺駅,475,吉祥寺駅,1,武蔵野市,吉祥寺,吉祥寺,area:吉祥寺|station:吉祥寺駅|feature:24h,
ノアスタジオ 吉祥寺店,〒180-0004 東京都武蔵野市吉祥寺本町２丁目１６?１２ B１F,,https://www.noahstudio.jp/shop/kichijoji/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.7058453,139.5768069,東京,吉祥寺駅,406,吉祥寺駅,1,武蔵野市,吉祥寺,吉祥寺,area:吉祥寺|station:吉祥寺駅|feature:24h,
Fine Studio,〒332-0017 埼玉県川口市栄町３丁目３?３ 3F,,http://www.go2fine.com/,090-2926-6574,,1,35.8046186,139.7175361,東京,なし,,,0,その他,その他,その他,,
吉祥寺 レンタルスタジオ さんだる倶楽部,〒180-0003 東京都武蔵野市吉祥寺南町１丁目３０?１ パークヴィラ吉祥寺２階,,https://www.3daru.com/,,"2024-02-29 木曜日 8時00分～22時00分
2024-03-01 金曜日 8時00分～22時00分
2024-03-02 土曜日 8時00分～22時00分
2024-03-03 日曜日 8時00分～22時00分
2024-03-04 月曜日 8時00分～22時00分
2024-03-05 火曜日 8時00分～22時00分
2024-03-06 水曜日 8時00分～22時00分
",1,35.700759,139.58309,東京,吉祥寺駅,395,吉祥寺駅,1,武蔵野市,吉祥寺,吉祥寺,area:吉祥寺|station:吉祥寺駅|feature:24h,
FIVE O DANCE STUDIO 狛江（ファイブオーダンススタジオ）,〒201-0014 東京都狛江市東和泉１丁目２０?１ 第三登戸ビル,,https://fiveodancestudio.jp/,050-3134-4277,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6317055,139.5775872,東京,なし,,,0,狛江市,狛江,狛江,area:狛江|feature:24h,
レンタルスタジオOLI（オリ） 三鷹 ［定員30名 教室レッスン、スポットレンタルできます］,〒180-0013 東京都武蔵野市西久保２丁目１?１０ Ｙ’Ｓビル B１ ワイズビル,,https://www.rentalstudio-oli.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.7077001,139.5610506,東京,三鷹駅,628,三鷹駅,1,武蔵野市,吉祥寺,吉祥寺,area:吉祥寺|station:三鷹駅|feature:24h,
FIVE O DANCE STUDIO 二子玉川,〒157-0077 東京都世田谷区鎌田２丁目２５?９,,https://fiveoentinc.com/,050-3134-4277,"2024-02-29 木曜日 9時00分～21時00分
2024-03-01 金曜日 9時00分～21時00分
2024-03-02 土曜日 9時00分～21時00分
2024-03-03 日曜日 9時00分～21時00分
2024-03-04 月曜日 9時00分～21時00分
2024-03-05 火曜日 9時00分～21時00分
2024-03-06 水曜日 9時00分～21時00分
",1,35.6207786,139.6107267,東京,なし,,,0,世田谷区,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,area:下北沢|feature:24h,
FLAG POINT,〒171-0043 東京都豊島区２１ 豊島区要町1丁目21-10 三井ビル2F,,http://www.flag-point.com/,03-5926-7813,"2024-02-29 木曜日 9時00分～0時00分
2024-03-01 金曜日 9時00分～0時00分
2024-03-02 土曜日 9時00分～0時00分
2024-03-03 日曜日 9時00分～0時00分
2024-03-04 月曜日 9時00分～0時00分
2024-03-05 火曜日 9時00分～0時00分
2024-03-06 水曜日 9時00分～0時00分
",1,35.7340637,139.6960357,東京,なし,,,0,豊島区,池袋,池袋|目白|大塚|巣鴨,area:池袋|feature:24h,
FREEDA LIFESTYLE＋,〒106-0044 東京都港区東麻布１丁目２６?８ プライム東麻布 3F,,http://www.freeda.jp/,03-6807-4322,"2024-02-29 木曜日 10時00分～16時00分
2024-03-01 金曜日 10時00分～16時00分
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 10時00分～16時00分
2024-03-05 火曜日 10時00分～16時00分
2024-03-06 水曜日 10時00分～16時00分
",1,35.6552837,139.7447085,東京,麻布十番駅,921,麻布十番駅|浜松町駅|田町駅,3,港区,六本木,六本木|赤坂|麻布|新橋,area:六本木|station:麻布十番駅|station:浜松町駅|station:田町駅|feature:24h,
Funky Gang Dance Studio,〒194-0022 東京都町田市森野１丁目９?１７ B1,,https://www.funky-gang.com/,042-851-7225,LGBTQ フレンドリー,1,35.5454109,139.4416702,東京,町田駅,566,町田駅,1,町田市,町田,町田,area:町田|station:町田駅,
FunnyTips（ファニーティップス）,〒101-0021 東京都千代田区外神田５丁目５?７ パンセ秋葉原 B1F,,http://infofunnytips.wix.com/funnytips,03-6684-9954,"2024-02-29 木曜日 12時00分～19時00分
2024-03-01 金曜日 12時00分～19時00分
2024-03-02 土曜日 12時00分～19時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 12時00分～19時00分
2024-03-05 火曜日 12時00分～19時00分
2024-03-06 水曜日 12時00分～19時00分
",1,35.7042504,139.7727759,東京,秋葉原駅,633,秋葉原駅|上野駅,2,千代田区,秋葉原,秋葉原,area:秋葉原|station:秋葉原駅|station:上野駅|feature:24h,
バレエ・ダンススタジオ Lino,〒168-0082 東京都杉並区久我山５丁目７?１３ 地下1階 メリディアン,,https://lino.releve.fun/,,"2024-02-29 木曜日 15時30分～19時00分
2024-03-01 金曜日 15時30分～18時00分
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 定休日
2024-03-05 火曜日 10時00分～11時00分
2024-03-06 水曜日 定休日
",1,35.6876877,139.6003698,東京,なし,,,0,杉並区,高円寺,高円寺,area:高円寺|feature:24h,
レンタルスタジオ西荻リノ,〒167-0042 東京都杉並区西荻北２丁目３?９ グランピア西荻窪 Ｂ101,,https://nishiogi-lino.linovery.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.7047149,139.6008399,東京,なし,,,0,杉並区,高円寺,高円寺,area:高円寺|feature:24h,
スタジオLINOVA（リノ・バ）,〒167-0054 東京都杉並区松庵３丁目１?６ 松庵ユニオンビル B1,,https://www.linova.jp/,,"2024-02-29 木曜日 7時00分～22時00分
2024-03-01 金曜日 7時00分～22時00分
2024-03-02 土曜日 7時00分～22時00分
2024-03-03 日曜日 7時00分～22時00分
2024-03-04 月曜日 7時00分～22時00分
2024-03-05 火曜日 7時00分～22時00分
2024-03-06 水曜日 7時00分～22時00分
",1,35.6990625,139.5978069,東京,なし,,,0,杉並区,高円寺,高円寺,area:高円寺|feature:24h,
Gloire Ballet Studio,〒182-0022 東京都調布市国領町４丁目9?４ 九曜国領駅前ビル 4F,,https://gloire-ballet-studio.com/,042-444-7473,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 10時00分～22時00分
2024-03-01 金曜日 10時00分～22時00分
2024-03-02 土曜日 10時00分～22時00分
2024-03-03 日曜日 10時00分～22時00分
2024-03-04 月曜日 10時00分～22時00分
2024-03-05 火曜日 10時00分～22時00分
2024-03-06 水曜日 10時00分～22時00分
",1,35.6491398,139.5577753,東京,調布駅,1180,調布駅,1,調布市,調布,調布,area:調布|station:調布駅|feature:24h,
ＧＯＣＯＯスタジオ,〒174-0041 東京都板橋区舟渡２丁目２０?８,,http://stunt-japan.com/,03-5392-4059,,1,35.795858,139.688777,東京,なし,,,0,板橋区,成増,成増,area:成増,
STYLEY チアダンス・新体操・アクロバットスクール 板橋本蓮沼校,〒174-0052 東京都板橋区蓮沼町８?３,,https://styley-f.com/,,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 16時00分～19時00分
2024-03-01 金曜日 13時00分～18時00分
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 定休日
2024-03-05 火曜日 13時00分～18時00分
2024-03-06 水曜日 13時00分～18時00分
",1,35.768052,139.7032058,東京,なし,,,0,板橋区,成増,成増,area:成増|feature:24h,
レンタルスタジオOLI,〒166-0004 東京都杉並区阿佐谷南１丁目１５?１４ サンフェリーペ 101号室,,https://www.rentalstudio-oli.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.7001676,139.6368919,東京,なし,,,0,杉並区,高円寺,高円寺,area:高円寺|feature:24h,
スタジオジパング 久我山スタジオSTANDARD,〒168-0082 東京都杉並区久我山５丁目７?１３ メリディアン B1,,https://studiozipang.com/kugayama-standard/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6876645,139.6004166,東京,なし,,,0,杉並区,高円寺,高円寺,area:高円寺|feature:24h,
三鷹RI劇場(旧名三鷹RIスタジオ),〒181-0013 東京都三鷹市下連雀３丁目 榎本ビル 地下1階,,http://seigetsu-entertainment.com/ristudio/,,,1,35.7002431,139.5621947,東京,三鷹駅,235,三鷹駅,1,三鷹市,三鷹,三鷹,area:三鷹|station:三鷹駅,
三鷹レンタルスタジオRin,〒181-0013 東京都三鷹市下連雀３丁目２３?１２ アージェントビル 402,,https://dance-studio-rin.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.700708,139.5616177,東京,三鷹駅,165,三鷹駅,1,三鷹市,三鷹,三鷹,area:三鷹|station:三鷹駅|feature:24h,
Fali studio ファリ レンタルスペース,〒182-0012 東京都調布市深大寺東町６丁目28?２,,https://upnow.jp/jindaijispace,,,1,35.6755508,139.5576282,東京,なし,,,0,調布市,調布,調布,area:調布,
Gravisダンススクール 株式会社Gravis,〒195-0053 東京都町田市能ヶ谷１丁目７?６ 鶴川鈴木ビル 6F,,https://gravis-dance.co.jp/,050-3131-1065,"2024-02-29 木曜日 10時00分～22時00分
2024-03-01 金曜日 10時00分～22時00分
2024-03-02 土曜日 9時00分～20時00分
2024-03-03 日曜日 9時00分～20時00分
2024-03-04 月曜日 10時00分～22時00分
2024-03-05 火曜日 10時00分～22時00分
2024-03-06 水曜日 9時30分～22時00分
",1,35.5840651,139.4822934,東京,なし,,,0,町田市,町田,町田,area:町田|feature:24h,
grow dance studio,〒522-0043 滋賀県彦根市小泉町６２０?３,,http://www.grow-dancestudio.com/,0749-20-9600,"2024-02-29 木曜日 17時00分～22時00分
2024-03-01 金曜日 17時00分～22時00分
2024-03-02 土曜日 11時00分～22時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 17時00分～22時00分
2024-03-05 火曜日 17時00分～22時00分
2024-03-06 水曜日 17時00分～22時00分
",1,35.2483971,136.2462586,東京,なし,,,0,その他,その他,その他,feature:24h,
H?lau Hula Coco,〒104-0045 東京都中央区築地１丁目１２?１５ 三ツ田ビル 4F,,http://www.hula-coco.jp/,03-6228-4696,"2024-02-29 木曜日 10時00分～23時00分
2024-03-01 金曜日 10時00分～23時00分
2024-03-02 土曜日 10時00分～23時00分
2024-03-03 日曜日 10時00分～23時00分
2024-03-04 月曜日 10時00分～23時00分
2024-03-05 火曜日 10時00分～23時00分
2024-03-06 水曜日 10時00分～23時00分
",1,35.6683643,139.77014,東京,有楽町駅,967,有楽町駅|新橋駅,2,中央区,銀座,銀座|日本橋|八丁堀|月島,area:銀座|station:有楽町駅|station:新橋駅|feature:24h,
HARA Studio,〒162-0042 東京都新宿区早稲田町７４?１４ 地下1F S.T ビル,,https://harastudio.wixsite.com/website,090-9001-1935,"2024-02-29 木曜日 9時00分～23時00分
2024-03-01 金曜日 9時00分～23時00分
2024-03-02 土曜日 9時00分～23時00分
2024-03-03 日曜日 9時00分～23時00分
2024-03-04 月曜日 9時00分～23時00分
2024-03-05 火曜日 9時00分～23時00分
2024-03-06 水曜日 9時00分～23時00分
",1,35.7058356,139.7220866,東京,なし,,,0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|feature:24h,
レンタルスタジオ、ダンススタジオ アレイティ,〒272-0132 千葉県市川市湊新田２丁目６?６ モロマンションB A棟 106号,,https://studio-areiti.amebaownd.com/,,"2024-02-29 木曜日 9時00分～22時00分
2024-03-01 金曜日 9時00分～22時00分
2024-03-02 土曜日 9時00分～22時00分
2024-03-03 日曜日 9時00分～22時00分
2024-03-04 月曜日 9時00分～22時00分
2024-03-05 火曜日 9時00分～22時00分
2024-03-06 水曜日 9時00分～22時00分
",1,35.6789472,139.9121259,東京,なし,,,0,その他,その他,その他,feature:24h,
Hidemi Dancing Vida,〒141-0021 東京都品川区上大崎２丁目１０?３２ フラワープラザビル 202,,https://www.yh-dancev.com/,03-6277-4775,"2024-02-29 木曜日 13時00分～22時00分
2024-03-01 金曜日 13時00分～22時00分
2024-03-02 土曜日 13時00分～22時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 13時00分～22時00分
2024-03-05 火曜日 13時00分～22時00分
2024-03-06 水曜日 13時00分～22時00分
",1,35.6353306,139.7172857,東京,目黒駅,198,目黒駅|五反田駅,2,品川区,品川,品川|五反田|大井町|目黒,area:品川|station:目黒駅|station:五反田駅|feature:24h,
HIRAYAMA studio立石,〒124-0012 東京都葛飾区立石１丁目２２?７,,https://hirayamastudio.com/tateishi.html,090-5419-4965,,1,35.7384007,139.8496914,東京,なし,,,0,葛飾区,新小岩,新小岩,area:新小岩,
HMVP大手町スタジオ,〒101-0047 東京都千代田区内神田１丁目７?１１ B2F,,http://hmvp.net/,03-5283-1475,,1,35.6901685,139.7665458,東京,東京駅,995,東京駅|秋葉原駅,2,千代田区,秋葉原,秋葉原,area:秋葉原|station:東京駅|station:秋葉原駅,
HOSHINOダンシングアカデミー,〒354-0021 埼玉県富士見市鶴馬２丁目１６?２２,,https://dancing-academy.com/,049-255-2855,"2024-02-29 木曜日 10時00分～23時00分
2024-03-01 金曜日 10時00分～23時00分
2024-03-02 土曜日 10時00分～23時00分
2024-03-03 日曜日 10時00分～23時00分
2024-03-04 月曜日 10時00分～23時00分
2024-03-05 火曜日 10時00分～23時00分
2024-03-06 水曜日 10時00分～23時00分
",1,35.8457208,139.5434458,東京,なし,,,0,その他,その他,その他,feature:24h,
HuE スタジオ,〒676-0078 兵庫県高砂市伊保２丁目５?１８ ロイヤルコーポ 伊保 103,,https://huestudioo.com/,070-8492-1112,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,34.768873,134.7885621,東京,なし,,,0,その他,その他,その他,feature:24h,
Hula Studio Huali,〒984-0838 宮城県仙台市若林区上飯田１丁目１９?５０,,http://huali.venus.bindcloud.jp/,090-6686-5815,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 10時00分～21時00分
2024-03-01 金曜日 10時00分～16時00分
2024-03-02 土曜日 10時00分～18時00分
2024-03-03 日曜日 10時00分～21時00分
2024-03-04 月曜日 10時00分～21時00分
2024-03-05 火曜日 10時00分～21時00分
2024-03-06 水曜日 定休日
",1,38.2216025,140.9177314,東京,なし,,,0,その他,その他,その他,feature:24h,
HYPERMIX門前仲町,〒135-0048 東京都江東区門前仲町１丁目１３?１２,,https://hypermix.jp/,03-5875-8320,LGBTQ フレンドリー,1,35.6734003,139.7951522,東京,なし,,,0,江東区,豊洲,豊洲,area:豊洲,
I.G.Oスタジオ,"4F, ３丁目-５-１ 西日暮里 荒川区 東京都 116-0013",,http://igomusic.jp/,03-5848-4032,"2024-02-29 木曜日 9時00分～23時30分
2024-03-01 金曜日 9時00分～23時30分
2024-03-02 土曜日 9時00分～23時30分
2024-03-03 日曜日 9時00分～23時30分
2024-03-04 月曜日 9時00分～23時30分
2024-03-05 火曜日 9時00分～23時30分
2024-03-06 水曜日 9時00分～23時30分
",1,35.731965,139.7664826,東京,日暮里駅,619,日暮里駅,1,荒川区,日暮里,日暮里,area:日暮里|station:日暮里駅|feature:24h,
ICHIBANGAI Dance Studio,〒160-0022 東京都新宿区新宿１丁目３ 12・B1,,http://www.studio1b.jp/,03-6273-1759,,1,35.6878166,139.7121969,東京,代々木駅,1059,代々木駅|新宿駅,2,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:代々木駅|station:新宿駅,
