studio_title,address,website,phone,dslurl,is_partner,candidate_article_count,s_article_count,api_priority_score,api_target_reason,place_id,google_name,rating,review_count,google_address,match_confidence,api_status,query_used
レンタルスタジオStudioIrodori麻布十番店,〒106-0045 東京都港区麻布十番１丁目５番１ YKビル 3F,https://studioirodori.com/,050-3628-5392,,0,6,3,105,S優先度記事×3|複数記事候補×6|候補少記事に出現,ChIJRZ-hD1OLGGARe7zo7aag8zM,レンタルスタジオStudioIrodori麻布十番4F,5.0,4.0,〒106-0045 東京都港区麻布十番１丁目５−１ ＹＫビル 4F,0.943,OK,レンタルスタジオStudioIrodori麻布十番店 東京都港区麻布十番
スタジオペンタ五反田店,〒141-0022 東京都品川区東五反田１丁目１２-９,https://studiopenta.jp/rehearsal/gotanda/,03-3447-2333,,0,6,3,105,S優先度記事×3|複数記事候補×6|候補少記事に出現,ChIJbRmGovuKGGARsy9zFDawRZg,スタジオペンタ五反田店,4.1,50.0,〒141-0022 東京都品川区東五反田１丁目１２−９,1.0,OK,スタジオペンタ五反田店 東京都品川区東五反田
ミライスタジオ日本橋,〒103-0001 東京都中央区日本橋小伝馬町１４-５,https://studio-mirai55.com/,,,0,5,4,105,S優先度記事×4|複数記事候補×5,ChIJbYAL1SKPGGARJUbO0Lskb0I,ザ・ゲートスタジオ東京＜日本橋＞,5.0,7.0,〒103-0001 東京都中央区日本橋小伝馬町１４−５,0.56,OK,ミライスタジオ日本橋 東京都中央区日本橋小伝馬町１４?５
レンタルスタジオ HIKARI 渋谷,〒150-0043 東京都渋谷区道玄坂２丁目２０-２６ エクシール道玄坂 104号室 藤和,https://hikari-studio.net/,050-3196-4716,,0,5,4,105,S優先度記事×4|複数記事候補×5,ChIJtWnAAZqNGGAR0KKiuR9F57k,レンタルスタジオ HIKARI 渋谷,4.5,2.0,〒150-0043 東京都渋谷区道玄坂２丁目２０−２６ エクシール道玄坂 104号室 藤和,1.0,OK,レンタルスタジオ HIKARI 渋谷 東京都渋谷区道玄坂
バンドスタジオ ベースオントップ秋葉原昭和通り口店,〒101-0025 東京都千代田区神田佐久間町３丁目37-１ 文唱堂ビル B1F,https://bassontop.tokyo.jp/band/akihabara/,03-5825-4544,,0,5,4,105,S優先度記事×4|複数記事候補×5,ChIJKYlSUGyPGGAReWy1AyFOtW4,バンドスタジオ ベースオントップ秋葉原昭和通り口店,4.4,53.0,〒101-0025 東京都千代田区神田佐久間町３丁目37−１ 文唱堂ビル B1F,1.0,OK,バンドスタジオ ベースオントップ秋葉原昭和通り口店 東京都千代田区神田佐久間町
ミルクスタジオ,〒101-0021 東京都千代田区外神田３丁目３-５ ヨシヰビル,https://milk-studio.jp/,03-6886-4333,,0,5,4,105,S優先度記事×4|複数記事候補×5,ChIJq6qaLxyMGGARVy-sqEAphZ0,ミルクスタジオ,4.0,52.0,〒101-0021 東京都千代田区外神田３丁目３−５ ヨシヰビル,1.0,OK,ミルクスタジオ 東京都千代田区外神田
Hidemi Dancing Vida,〒141-0021 東京都品川区上大崎２丁目１０-３２ フラワープラザビル 202,https://www.yh-dancev.com/,03-6277-4775,,0,6,3,105,S優先度記事×3|複数記事候補×6|候補少記事に出現,ChIJPdLyWLaLGGARzgxvrSQdmFY,Hidemi Dancing Vida,5.0,3.0,〒141-0021 東京都品川区上大崎２丁目１０−３２ フラワープラザビル 202,1.0,OK,Hidemi Dancing Vida 東京都品川区上大崎
渋谷 レンタルスタジオ スタジオミッション studio mission,〒150-0043 東京都渋谷区道玄坂２丁目２８-５ 2-10F 渋谷道玄坂ビル 秀永,http://www.studio-mission.com/,03-6823-4800,,0,5,4,105,S優先度記事×4|複数記事候補×5,ChIJVVUlHFaLGGARHG6TC__DE0U,渋谷 レンタルスタジオ スタジオミッション studio mission,3.5,82.0,〒150-0043 東京都渋谷区道玄坂２丁目２８−５ 渋谷道玄坂ビル 秀永 2-10F,1.0,OK,渋谷 レンタルスタジオ スタジオミッション studio mission 東京都渋谷区道玄坂
池田山ノブレスレンタルスタジオ（五反田駅）,〒141-0022 東京都品川区東五反田５丁目２４-７ ノブレス池田山 B1階,https://ikedayama.studiosquare.jp/,03-5822-4050,,0,6,3,105,S優先度記事×3|複数記事候補×6|候補少記事に出現,ChIJ8WVlHpmLGGARy3GuR7LmRt4,池田山ノブレスレンタルスタジオ（五反田駅）,3.7,3.0,〒141-0022 東京都品川区東五反田５丁目２４−７ ノブレス池田山 B1階,1.0,OK,池田山ノブレスレンタルスタジオ（五反田駅） 東京都品川区東五反田
Pole and Aerial Studio POLISH五反田,〒141-0031 東京都品川区西五反田１丁目５-２ トラヤビル 7階,https://www.polish-415.com/,03-6420-0535,,0,6,3,105,S優先度記事×3|複数記事候補×6|候補少記事に出現,ChIJ9VJuw4qLGGARkreStlp-krQ,Pole and Aerial Studio POLISH五反田,4.9,9.0,〒141-0031 東京都品川区西五反田１丁目５−２ トラヤビル 7階,1.0,OK,Pole and Aerial Studio POLISH五反田 東京都品川区西五反田
スタジオブライト｜レンタル撮影スタジオ（完全予約制）,〒111-0051 東京都台東区蔵前４丁目３６-１３ タイルビル 4F,https://studiobright.co.jp/,,,0,6,3,105,S優先度記事×3|複数記事候補×6|候補少記事に出現,ChIJ-X5Oz2GPGGAR4z5MZbV2_ng,スタジオブライト,,,〒111-0051 東京都台東区蔵前４丁目３６−１３ タイルビル 4F,0.471,OK,スタジオブライト｜レンタル撮影スタジオ（完全予約制） 東京都台東区蔵前
スタジオジパング 池袋スタジオSTANDARD 7F/8F,〒171-0021 東京都豊島区西池袋３丁目２９-９ 8F Ｃ３ビル 7F,https://studiozipang.com/,,,0,5,4,105,S優先度記事×4|複数記事候補×5,ChIJn1U8l3mNGGARq1WTVN2lHOY,スタジオジパング 池袋スタジオSTANDARD 7F/8F,3.7,7.0,〒171-0021 東京都豊島区西池袋３丁目２９−９ Ｃ３ビル 7F 8F,1.0,OK,スタジオジパング 池袋スタジオSTANDARD 7F/8F 東京都豊島区西池袋
東急スポーツオアシス 青山,"〒107-0061 東京都港区北青山２丁目８-４４, Tepia, B2F",https://www.sportsoasis.co.jp/sh58/,03-5770-6109,,0,6,3,105,S優先度記事×3|複数記事候補×6|候補少記事に出現,ChIJx1Fo1JuMGGARWG76eqFuKk8,OASIS RAFEEL 青山,3.5,69.0,"〒107-0061 東京都港区北青山２丁目８−４４ Tepia, B2F",0.16,OK,東急スポーツオアシス 青山 東京都港区北青山
natsu belly dance club,〒171-0022 東京都豊島区南池袋２丁目２２-４ フジキF2ビル,https://peraichi.com/landing_pages/view/nbdc,,,0,5,4,105,S優先度記事×4|複数記事候補×5,ChIJ9yBWEzSNGGARYAl9F60WsUs,natsu belly dance club,,,〒171-0022 東京都豊島区南池袋２丁目２２−４ フジキF2ビル,1.0,OK,natsu belly dance club 東京都豊島区南池袋
スタジオJBA,〒103-0011 東京都中央区日本橋大伝馬町１１-８ ＨＡＴビル B1F,https://studiojba.com/,03-6231-0638,,0,5,4,105,S優先度記事×4|複数記事候補×5,ChIJn8oP_VKJGGARMmw5RahbHMQ,スタジオJBA,4.4,43.0,〒103-0011 東京都中央区日本橋大伝馬町１１−８ ＨＡＴビル B1F,1.0,OK,スタジオJBA 東京都中央区日本橋大伝馬町１１?８ ＨＡＴビル B1F
MCSpace,〒167-0053 東京都杉並区西荻南２丁目２５-６ 西荻プラザビル B1F,http://mcspace1.com/,03-5941-3065,,0,6,3,105,S優先度記事×3|複数記事候補×6|候補少記事に出現,ChIJ25ACVAXuGGARDoQc57Z5OSY,MCSpace,4.9,17.0,〒167-0053 東京都杉並区西荻南２丁目２５−６ 西荻プラザビル B1F,1.0,OK,MCSpace 東京都杉並区西荻南
NATURAglam 高円寺スタジオ,〒166-0003 東京都杉並区４５ 高円寺南４丁目４５-２ メインロードビル3階,http://www.naturaglam.com/koenji/,050-5307-3439,,0,5,4,105,S優先度記事×4|複数記事候補×5,ChIJD1RX9IfyGGAR-Ka-hHMKh0c,ヨガ ピラティス ベリーダンス NATURAglam 高円寺スタジオ,4.3,6.0,〒166-0003 東京都杉並区高円寺南４丁目４５−２ メインロードビル 3階,0.723,OK,NATURAglam 高円寺スタジオ 東京都杉並区４５ 高円寺南
NSH MAJOR RENTAL STUDIO,〒153-0051 東京都目黒区上目黒３丁目６-１８ TYビル9階 Tyビル,https://studiomajor.jp/,03-5734-1040,,0,5,4,105,S優先度記事×4|複数記事候補×5,ChIJTzy8UUaLGGARO3pP9Y5MU4Y,MAJOR Dance Studio,4.8,17.0,〒153-0051 東京都目黒区上目黒３丁目６−１８ TYビル9階,0.667,OK,NSH MAJOR RENTAL STUDIO 東京都目黒区上目黒
ノアスタジオ 秋葉原店,〒101-0021 東京都千代田区外神田６丁目１４-８,https://www.noahstudio.jp/shop/akihabara/,03-5816-8383,,0,5,4,105,S優先度記事×4|複数記事候補×5,ChIJBYrhQR6MGGARzKASg6uMah0,サウンドスタジオノア 秋葉原店,4.3,470.0,〒101-0021 東京都千代田区外神田６丁目１４−８,0.667,OK,ノアスタジオ 秋葉原店 東京都千代田区外神田
Z-RAHZ DANCE STUDIO,〒106-0046 東京都港区元麻布１丁目２-２,http://studio.z-rahz.com/,03-6434-9118,,0,6,3,105,S優先度記事×3|複数記事候補×6|候補少記事に出現,ChIJJZV3JXeLGGARMdTID7-byWQ,Z-RAHZ DANCE STUDIO,4.5,4.0,〒106-0046 東京都港区元麻布１丁目２−２ Hill Point元麻布 B2F,1.0,OK,Z-RAHZ DANCE STUDIO 東京都港区元麻布
DL Studio,〒151-0053 東京都渋谷区代々木１丁目４５-４ 地下2階 代々木山陽ビル,http://www.instabase.jp/rooms/2630,,,0,5,4,105,S優先度記事×4|複数記事候補×5,ChIJAQCk2s6MGGAR5Q-z8bDSvq0,DL Studio,3.6,10.0,〒151-0053 東京都渋谷区代々木１丁目４５−４ 代々木山陽ビル 地下2階,1.0,OK,DL Studio 東京都渋谷区代々木
TEDDY?S BALANCE,〒150-0034 東京都渋谷区代官山町１３-１ ログロード代官山 L３棟２F,https://ted-balance.com/,,,0,5,4,105,S優先度記事×4|複数記事候補×5,ChIJD5tomhaLGGART65Sha6DZMQ,TEDDYʼS BALANCE,5.0,1.0,〒150-0034 東京都渋谷区代官山町１３−１ ログロード代官山 L３棟２F,0.929,OK,TEDDY?S BALANCE 東京都渋谷区代官山町１３?１ ログロード代官山 L３棟２F
studio worcle shibuya,〒150-0031 東京都渋谷区桜丘町１４-１０ 地下１階,https://www.studioworcle.com/,03-6416-9393,,0,5,4,105,S優先度記事×4|複数記事候補×5,ChIJs9sS_lmLGGARTTD9ppXq5OE,studio worcle shibuya,3.6,81.0,〒150-0031 東京都渋谷区桜丘町１４−１０ 地下１階,1.0,OK,studio worcle shibuya 東京都渋谷区桜丘町１４?１０ 地下１階
dスタ（レンタルスタジオ）,〒107-0062 東京都港区南青山２丁目２４-１５ 青山タワービル 15F,https://dstudio-dbs.com/,03-6804-5257,,0,6,3,105,S優先度記事×3|複数記事候補×6|候補少記事に出現,ChIJGSa5XBaNGGARvoFVoxieqr0,dスタ（レンタルスタジオ）,3.0,1.0,〒107-0062 東京都港区南青山２丁目２４−１５ 青山タワービル 15F,1.0,OK,dスタ（レンタルスタジオ） 東京都港区南青山
ACEスタジオ馬喰町日本橋,〒103-0003 東京都中央区日本橋横山町７-１９ イチオクビル 地下１階 7-19第３５,https://mestudio.tokyo/,090-1261-7939,,0,5,4,105,S優先度記事×4|複数記事候補×5,ChIJazwo6COPGGARaUsR_EzzWto,ACEスタジオ馬喰町日本橋,4.3,4.0,〒103-0003 東京都中央区日本橋横山町７−１９ 友泉東日本橋駅前ビル イチオクビル 地下１階,1.0,OK,ACEスタジオ馬喰町日本橋 東京都中央区日本橋横山町７?１９ イチオクビル 地下１階 7-19第３５
ARTIST DANCE STUDIO,〒150-0036 東京都渋谷区南平台町１-９ 南平台宝来ビル B1,https://artist-dance.jp/,,,0,5,4,105,S優先度記事×4|複数記事候補×5,ChIJ7UnCHJtTMiMR-EYpHScg1rk,ARTIST DANCE STUDIO - RENTAL -,5.0,1.0,〒150-0036 東京都渋谷区南平台町１−９ 南平台宝来ビル B1,0.85,OK,ARTIST DANCE STUDIO 東京都渋谷区南平台町１?９ 南平台宝来ビル B1
VERONICA FIT,〒104-0032 東京都中央区八丁堀２丁目１９-６ ヤサカ八丁堀ビルB1,https://veronicafit.tokyo/,03-4288-8680,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJZzTncU2JGGARfaH-gWu_lj4,VERONICA FIT,4.8,13.0,〒104-0032 東京都中央区八丁堀２丁目１９−６ ヤサカ八丁堀ビルB1,1.0,OK,VERONICA FIT 東京都中央区八丁堀
monoダンススタジオ-レンタル,〒304 東京都豊島区北大塚２丁目２-１３ JP 1700004 大塚シャトレー・トーコー 304号室,https://rental-dance-studio.com/ootsuka/kihon-jyouhou,,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJAcFlChuNGGAR2ULg6Fut2mg,monoダンススタジオ-レンタル ダンススタジオ,3.5,2.0,〒304 東京都豊島区北大塚２丁目２−１３ 304号室 JP 1700004,0.811,OK,monoダンススタジオ-レンタル 〒304 東京都豊島区北大塚
BRONX RENTAL STUDIO,〒155-0031 東京都世田谷区北沢２丁目５-１０,http://thebronx-dancestudio.com/,080-3081-8726,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJ___jiWnzGGARY1MFvX-_Ce8,BRONX RENTAL STUDIO,3.7,15.0,〒155-0031 東京都世田谷区北沢２丁目５−１０ マツヤビル 第五 4F,1.0,OK,BRONX RENTAL STUDIO 東京都世田谷区北沢
ノアスタジオ 都立大２号店,〒152-0031 東京都目黒区中根１丁目２-２ 1F 受付,https://www.noahstudio.jp/shop/toritsudai2/,03-3725-0010,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJERLntWT1GGARFZDiT-vW44k,ノアスタジオ 都立大２号店,4.3,12.0,〒152-0031 東京都目黒区中根１丁目２−２ 1F 受付,1.0,OK,ノアスタジオ 都立大２号店 東京都目黒区中根
ノアスタジオ 都立大店（ダンス・演劇）,〒152-0031 東京都目黒区中根１丁目７-２３ ＳＴビル,https://www.noahstudio.jp/shop/toritsudai/,03-3723-2011,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJAQC0Gdz0GGARlctSXtd-qDQ,ノアスタジオ 都立大店,4.1,125.0,〒152-0031 東京都目黒区中根１丁目７−２３ ＳＴビル,0.741,OK,ノアスタジオ 都立大店（ダンス・演劇） 東京都目黒区中根
NATURAglam 経堂スタジオ,〒156-0052 東京都世田谷区経堂１丁目２５-１８ 吉川水産ビル3階,https://www.naturaglam.com/kyodo/,050-5307-3439,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJ_99YOJbzGGARtY4LmxpuuHM,ヨガ ピラティス NATURAglam 経堂スタジオ,4.0,4.0,〒156-0052 東京都世田谷区経堂１丁目２５−１８ 吉川水産ビル3階,0.821,OK,NATURAglam 経堂スタジオ 東京都世田谷区経堂
レンタルスタジオKACHA,〒158-0097 東京都世田谷区用賀２丁目３８-１４ 天虎ビル 202,,,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJA7UWKMn1GGARuVdvRDuprHc,レンタルスタジオKACHA,5.0,2.0,〒158-0097 東京都世田谷区用賀２丁目３８−１４ 天虎ビル 202,1.0,OK,レンタルスタジオKACHA 東京都世田谷区用賀
Ohana Room Studio新宿,〒162-0801 東京都新宿区山吹町３４４ LOGビル 2F,https://ohanaroom.jp/,,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJaeo8k4GNGGARJ_0kau4HUt8,Ohana Room Studio新宿,,,〒162-0801 東京都新宿区山吹町３４４ 2F,1.0,OK,Ohana Room Studio新宿 東京都新宿区山吹町３４４ LOGビル 2F
浅草スタジオ２２６,〒111-0033 東京都台東区花川戸２丁目２-６ エビスビル 7階,http://asakusastudio226.com/,03-6802-4499,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJVfl8ecOOGGARD6WTv1XzWQU,浅草スタジオ２２６,3.7,46.0,〒111-0033 東京都台東区花川戸２丁目２−６ エビスビル 7階,1.0,OK,浅草スタジオ２２６ 東京都台東区花川戸
レンタルスタジオマイレッスン 三軒茶屋店,〒154-0024 東京都世田谷区三軒茶屋１丁目３０-９,http://www.my-lesson.jp/,,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJVVXhvZj0GGARhIhx7xvVZuk,レンタルスタジオマイレッスン 三軒茶屋店,3.5,6.0,〒154-0024 東京都世田谷区三軒茶屋１丁目３０−９,1.0,OK,レンタルスタジオマイレッスン 三軒茶屋店 東京都世田谷区三軒茶屋
ENCE Rental Studio 四谷三丁目【新宿エリアのレンタルスタジオ】,〒160-0017 東京都新宿区左門町１-１７ アパルトマン 四谷 102,http://encerentalstudio.com/,,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJdal9_omNGGAR5rKEf5ipluU,ENCE Rental Studio 四谷三丁目,4.7,167.0,〒160-0017 東京都新宿区左門町１−１７ アパルトマン 四谷 102,0.724,OK,ENCE Rental Studio 四谷三丁目【新宿エリアのレンタルスタジオ】 東京都新宿区左門町１?１７ アパルトマン 四谷 102
スタジオ白猫屋 経堂R店,〒156-0052 東京都世田谷区経堂１丁目１１-１３ 長島ビル 3Ｆ,https://soyokaze-shironekoya.jp/kyodor.html,,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJ55PkqjLzGGARLPp5G5MYqr8,スタジオ白猫屋 経堂R店,4.3,3.0,〒156-0052 東京都世田谷区経堂１丁目１１−１３ 長島ビル 3Ｆ,1.0,OK,スタジオ白猫屋 経堂R店 東京都世田谷区経堂
スタジオマーティ 東京三田慶応 / STUDIO marty Tokyo Mita Keio,〒108-0073 東京都港区三田２丁目１４-４ １Ｆ,https://www.studiomarty.co.jp/tokyo-mitakeio/,03-6809-6565,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJwcnjrraLGGARcDOhEVrHL34,スタジオマーティ 東京三田慶応 / STUDIO marty Tokyo Mita Keio,3.7,6.0,〒108-0073 東京都港区三田２丁目１４−４ １Ｆ,1.0,OK,スタジオマーティ 東京三田慶応 / STUDIO marty Tokyo Mita Keio 東京都港区三田
マーティ株式会社,〒108-0073 東京都港区三田２丁目１４-４ 三田慶応ビジデンス１F,https://www.marty.co.jp/,03-6417-4422,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJaXTICxyLGGARWFD7JWdsIxI,マーティ株式会社,5.0,2.0,〒108-0073 東京都港区三田２丁目１４−４ 三田慶応ビジデンス１F,1.0,OK,マーティ株式会社 東京都港区三田
池尻大橋レンタルスタジオY3,〒153-0043 東京都目黒区東山３丁目１-１９ メゾン池尻大橋 M.I.O Bldg 305,https://y3gym.com/,,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJT1jUBdj1GGARlwlQX4hUx0I,池尻大橋レンタルスタジオY3,,,〒153-0043 東京都目黒区東山３丁目１−１９ メゾン池尻大橋 M.I.O Bldg 305,1.0,OK,池尻大橋レンタルスタジオY3 東京都目黒区東山
HMVP大手町スタジオ,〒101-0047 東京都千代田区内神田１丁目７-１１ B2F,http://hmvp.net/,03-5283-1475,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJVVVJvQaMGGARVWvNkw9_Wh4,HMVP大手町スタジオ,4.3,27.0,〒101-0047 東京都千代田区内神田１丁目７−１１ B2F,1.0,OK,HMVP大手町スタジオ 東京都千代田区内神田
ムーンプレイス レンタルスタジオ蔵前,〒111-0043 東京都台東区駒形２丁目１-５ ３階,https://kashispace.com/room/detail?id=5058,,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJWc_yyk2PGGARIYIy_QUNMo0,ムーンプレイス レンタルスタジオ蔵前,5.0,1.0,〒111-0043 東京都台東区駒形２丁目１−５ ３階,1.0,OK,ムーンプレイス レンタルスタジオ蔵前 東京都台東区駒形
RAISE UP STUDIO 自由が丘 レンタルスタジオ,〒152-0035 東京都目黒区自由が丘１丁目３-22-B1,http://www.raiseup-studio.com/,03-6421-2448,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJxSEsih_1GGARdDQN9QdwEfE,RAISE UP STUDIO 自由が丘 レンタルスタジオ,4.6,5.0,〒152-0035 東京都目黒区自由が丘１丁目３−22-B1,1.0,OK,RAISE UP STUDIO 自由が丘 レンタルスタジオ 東京都目黒区自由が丘
スタジオアニマーダ,〒154-0024 東京都世田谷区三軒茶屋１丁目１６-８,https://animada8.wixsite.com/mysite-1/home,03-3418-3415,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJ_9HFcJj0GGARhlZRK4G0ubk,スタジオアニマーダ,4.7,10.0,〒154-0024 東京都世田谷区三軒茶屋１丁目１６−８,1.0,OK,スタジオアニマーダ 東京都世田谷区三軒茶屋
レンタルスタジオEVERGREEN,〒110-0005 東京都台東区上野３丁目２０-１０ 木下ビル3階,,03-6795-0837,,0,4,4,100,S優先度記事×4|複数記事候補×4,ChIJl72XXaCOGGAR98tEW1s1XIM,レンタルスタジオEVERGREEN,,,〒110-0005 東京都台東区上野３丁目２０−１０ 木下ビル 3階,1.0,OK,レンタルスタジオEVERGREEN 東京都台東区上野
レンタルスタジオOLI,〒166-0004 東京都杉並区阿佐谷南１丁目１５-１４ サンフェリーペ 101号室,https://www.rentalstudio-oli.com/,,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJH05DXsTzGGARVbfslTB4NCE,レンタルスタジオOLI,5.0,1.0,〒166-0004 東京都杉並区阿佐谷南１丁目１５−１４ サンフェリーペ 101号室,1.0,OK,レンタルスタジオOLI 東京都杉並区阿佐谷南
スタジオセンティード Studio SENTIDO（レンタルスタジオ）,〒155-0031 東京都世田谷区北沢２丁目１８-５ 地下１階,https://studiosentido.wixsite.com/rental,,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJ6Vsg52vzGGARG1pIJS-deqg,スタジオセンティード Studio SENTIDO（レンタルスタジオ）,5.0,1.0,〒155-0031 東京都世田谷区北沢２丁目１８−５ 地下１階,1.0,OK,スタジオセンティード Studio SENTIDO（レンタルスタジオ） 東京都世田谷区北沢
スタジオハクーロ,〒155-0032 東京都世田谷区代沢２丁目４６ 三宅ビル,,03-3460-2568,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJVVV6SULzGGARf37U5JLvx9k,スタジオハクーロ,3.3,6.0,〒155-0032 東京都世田谷区代沢２丁目４６ 三宅ビル,1.0,OK,スタジオハクーロ 東京都世田谷区代沢
ピアノスタジオノア 下北沢店,〒155-0031 東京都世田谷区北沢２丁目３４-８,https://www.grandpiano.jp/shimokita/,03-5738-0212,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJkRZR42rzGGARZUx6Nwvucbk,ピアノスタジオノア 下北沢店,4.4,83.0,〒155-0031 東京都世田谷区北沢２丁目３４−８,1.0,OK,ピアノスタジオノア 下北沢店 東京都世田谷区北沢
フラメンコスタジオアスール,〒141-0022 東京都品川区東五反田１丁目１８-４ B1 ＧＴＤイーストビル,http://www.aikoaoki.com/,03-3473-3435,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJn96g0_uKGGAR8iTKcyhLeVY,フラメンコスタジオアスール,,,〒141-0022 東京都品川区東五反田１丁目１８−４ ＧＴＤイーストビル B1,1.0,OK,フラメンコスタジオアスール 東京都品川区東五反田
下北沢 ヴィンテージスタジオ,〒155-0031 東京都世田谷区北沢２丁目２６-５ 伊澤ビル 3F,http://vintage.studiosquare.jp/,03-5822-4050,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJt-FnHKPzGGARYvPHealctgY,下北沢 ヴィンテージスタジオ,,,〒155-0031 東京都世田谷区北沢２丁目２６−５ 3F,1.0,OK,下北沢 ヴィンテージスタジオ 東京都世田谷区北沢
大井町店 レンタルスペースROOTS,〒140-0014 東京都品川区大井４丁目８-１１ L HOUSE 地下 一階,https://dancestudioroots.com/ooimachi/,,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJq75HlSeLGGARkUDwbZpUk4Q,大井町店 レンタルスペースROOTS,4.0,3.0,〒140-0014 東京都品川区大井４丁目８−１１ L HOUSE 地下 一階,1.0,OK,大井町店 レンタルスペースROOTS 東京都品川区大井
秋葉原レンタルスペース.東京,〒101-0021 東京都千代田区外神田５丁目５-７ パンセ秋葉原 B1F,https://www.akihabara-rental-space.tokyo/,03-6684-9954,,0,4,4,100,S優先度記事×4|複数記事候補×4,ChIJT7LHKR6MGGARN3QKBlgFAfM,秋葉原レンタルスペース.東京,,,〒101-0021 東京都千代田区外神田５丁目５−７ パンセ秋葉原 B1F,1.0,OK,秋葉原レンタルスペース.東京 東京都千代田区外神田
studio opus-スタジオ オープス-,〒140-0014 東京都品川区大井４丁目１-３ TOKOビル B1F,http://www.studio-opus.jp/,03-6410-7112,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJLxm-RdyLGGARiCiCH18L-mw,studio opus-スタジオ オープス-,4.3,3.0,〒140-0014 東京都品川区大井４丁目１−３ TOKOビル B1F,1.0,OK,studio opus-スタジオ オープス- 東京都品川区大井
スタジオヴェロニカ,〒104-0032 東京都中央区八丁堀２丁目１９-６ ヤサカ八丁堀ビル B1,https://veronica.asia/,03-4288-8680,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJuUa83LyJGGAR2L4dN98YswU,スタジオヴェロニカ,5.0,1.0,〒104-0032 東京都中央区八丁堀２丁目１９−６ ヤサカ八丁堀ビル B1,1.0,OK,スタジオヴェロニカ 東京都中央区八丁堀
京橋ララサロン（KYOBASHI LALA SALON）,〒104-0032 東京都中央区八丁堀２丁目１９-６ ヤサカ八丁堀ビルB1,https://www.instabase.jp/space/2350926945,03-4288-8680,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,ChIJS60iElCJGGARov0_FTjfqhE,京橋ララサロン（KYOBASHI LALA SALON）,4.3,4.0,〒104-0032 東京都中央区八丁堀２丁目１９−６ ヤサカ八丁堀ビルB1,1.0,OK,京橋ララサロン（KYOBASHI LALA SALON） 東京都中央区八丁堀
HARA Studio,〒162-0042 東京都新宿区早稲田町７４-１４ 地下1F S.T ビル,https://harastudio.wixsite.com/website,090-9001-1935,,0,5,3,100,S優先度記事×3|複数記事候補×5|候補少記事に出現,EllKYXBhbiwg44CSMTYyLTAwNDIgVG9reW8sIFNoaW5qdWt1IENpdHksIFdhc2VkYW1hY2hpLCDvvJfvvJTiiJLvvJHvvJQgUy5UIOODk-ODqyDlnLDkuIsxRiIkGiIKFgoUChIJtepdsQKNGGARyqIFGU5BlgASCOWcsOS4izFG,早稲田町７４−１４ 地下1F,,,〒162-0042 東京都新宿区早稲田町７４−１４ S.T ビル 地下1F,0.0,OK,HARA Studio 東京都新宿区早稲田町７４?１４ 地下1F S.T ビル
