タイトル,住所,dslurl,is_partner,dist_to_station_m,latitude,longitude,primary_station,distance_to_primary_station_m,candidate_stations,ward,primary_area,rental,article_tags,Webサイト,電話番号,営業時間
渡辺雅子フラメンコラコンチャ,〒160-0022 東京都新宿区新宿２丁目１-３ 1F,,0,862.3,35.688371,139.7093472,新宿駅,868.0,新宿駅|代々木駅|西武新宿駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:代々木駅|station:西武新宿駅|feature:24h,https://www.masako-watanabe.net/,090-6659-1031,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 19時00分～20時30分
2024-03-01 金曜日 定休日
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 17時30分～19時00分
2024-03-05 火曜日 定休日
2024-03-06 水曜日 定休日
"
すむぞう 代々木スタジオ,〒151-0053 東京都渋谷区代々木１丁目４５-７ C's YOYOGI 4F,,0,867.3,35.6822461,139.6978137,代々木駅,392.0,代々木駅|新宿駅,渋谷区,渋谷,1.0,area:渋谷|station:代々木駅|station:新宿駅,https://studio.sumuzo.info/studio/yoyogi/,,
貸空間スタジオStudioStyle+,〒160-0023 東京都新宿区西新宿７丁目２２-３１ BF 柏木 MURA,,0,869.8,35.697153,139.6965341,西武新宿駅,391.0,西武新宿駅|新大久保駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新大久保駅|station:新宿駅|feature:24h,https://studiostyle.jp/kashikukan-studio/,090-8306-7493,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業"
新宿レンタルスタジオ アルファ,〒160-0022 東京都新宿区８ 新宿5丁目8番21号 サンジュリ23号室,,0,881.7,35.6925567,139.7091477,新宿駅,823.0,新宿駅|西武新宿駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:西武新宿駅|feature:24h,,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
レンタルピラティススタジオAivic西新宿,東京都新宿区西新宿7-6-5 グローリア初穂　生沼ビル405,https://dance-studio-lab.com/room/ZGY5MzY2ZjgtMzk1Mi00YTY0LWE2OWEtZDc3Y2RiYjllMmJh/detail,1,896.7,35.697718,139.6978183,西武新宿駅,331.0,西武新宿駅|大久保駅|新大久保駅|新宿西口駅|西新宿駅|東新宿駅|都庁前駅|新宿駅|新宿三丁目駅|中野坂上駅,新宿区,新宿,1.0,,,,
Ｍ＆Ｓダンススタジオ,〒151-0051 東京都渋谷区千駄ケ谷５丁目１１-１３ 俳協ビル B1,,0,903.2,35.6834591,139.7061521,代々木駅,374.0,代々木駅|新宿駅,渋谷区,渋谷,1.0,area:渋谷|station:代々木駅|station:新宿駅|feature:24h,http://www.msc-dance.net/,03-3350-5350,"2024-02-29 木曜日 10時00分～22時30分
2024-03-01 金曜日 10時00分～22時15分
2024-03-02 土曜日 10時00分～22時40分
2024-03-03 日曜日 10時00分～21時00分
2024-03-04 月曜日 10時00分～22時30分
2024-03-05 火曜日 10時00分～22時30分
2024-03-06 水曜日 10時00分～22時40分
"
ミューズエンタープライズ（プロダクション、スクール＆レンタル）,〒151-0053 東京都渋谷区代々木１丁目３１-２ ミューズ 本館,,0,907.9,35.6819472,139.7025171,代々木駅,131.0,代々木駅|新宿駅,渋谷区,渋谷,1.0,area:渋谷|station:代々木駅|station:新宿駅|feature:24h,http://www.muse-enterprise.com/,03-5371-8980,"2024-02-29 木曜日 10時00分～22時00分
2024-03-01 金曜日 10時00分～22時00分
2024-03-02 土曜日 10時00分～22時00分
2024-03-03 日曜日 10時00分～22時00分
2024-03-04 月曜日 10時00分～22時00分
2024-03-05 火曜日 10時00分～22時00分
2024-03-06 水曜日 10時00分～22時00分
"
スタジオジパング 新宿スタジオPRO,"ニューローレルビル ニューローレルビル地下1階, １丁目-３４-１１ 新宿 新宿区 東京都 160-0022",,0,964.9,35.691309,139.710504,新宿駅,926.0,新宿駅|西武新宿駅|代々木駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:西武新宿駅|station:代々木駅|feature:24h,https://studiozipang.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
シュミネAスタジオStudioStyle+,〒169-0073 東京都新宿区百人町１丁目２４-７,,0,1000.7,35.6986271,139.6975462,新大久保駅,374.0,新大久保駅|西武新宿駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:新大久保駅|station:西武新宿駅|station:新宿駅|feature:24h,https://studiostyle.jp/chemine-a-studio/,090-8306-7493,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
赤レンガ・ライブスタジオStudioStyle+,〒169-0073 東京都新宿区百人町１丁目２４-８ 1F,,0,1002.7,35.6987148,139.6979661,新大久保駅,344.0,新大久保駅|西武新宿駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:新大久保駅|station:西武新宿駅|station:新宿駅|feature:24h,https://studiostyle.jp/akarenga-live-studio,090-8306-7493,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
赤レンガ・バレエスタジオStudioStyle+,〒169-0073 東京都新宿区百人町１丁目２４-８ 3F,,0,1002.7,35.6987066,139.6979087,新大久保駅,347.0,新大久保駅|西武新宿駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:新大久保駅|station:西武新宿駅|station:新宿駅|feature:24h,https://studiostyle.jp/akarenga-ballet-studio/,090-8306-7493,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業"
赤レンガ・プレイスタジオStudioStyle+,〒169-0073 東京都新宿区百人町１丁目２４-８ 3F,,0,1004.3,35.6987206,139.6979084,新大久保駅,346.0,新大久保駅|西武新宿駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:新大久保駅|station:西武新宿駅|station:新宿駅|feature:24h,https://studiostyle.jp/akarenga-play-studio,090-8306-7493,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
ALOK DANCE DORAMA COMPANY,〒169-0073 東京都新宿区百人町１丁目１３-９,,0,1011.8,35.698917,139.6990848,新大久保駅,279.0,新大久保駅|西武新宿駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:新大久保駅|station:西武新宿駅|station:新宿駅|feature:24h,http://alokddc.wordpress.com/,03-5386-8192,"LGBTQ フレンドリー2024-02-29 木曜日 9時00分～22時00分
2024-03-01 金曜日 9時00分～22時00分
2024-03-02 土曜日 9時00分～22時00分
2024-03-03 日曜日 9時00分～22時00分
2024-03-04 月曜日 9時00分～22時00分
2024-03-05 火曜日 9時00分～22時00分
2024-03-06 水曜日 9時00分～22時00分"
Studioonda大久保,〒169-0073 東京都新宿区百人町１丁目２３-２ 3F,,0,1013.9,35.6986846,139.6972142,新大久保駅,388.0,新大久保駅|西武新宿駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:新大久保駅|station:西武新宿駅|station:新宿駅|feature:24h,https://studioonda.com/,080-4947-2985,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業"
ダンススタジオ石井,〒151-0051 東京都渋谷区千駄ケ谷５丁目４-７,,0,1046.2,35.6825722,139.7073212,代々木駅,480.0,代々木駅|新宿駅,渋谷区,渋谷,1.0,area:渋谷|station:代々木駅|station:新宿駅|feature:24h,http://www.ds-ishii.com/,03-3350-4310,"2024-02-29 木曜日 13時00分～22時00分
2024-03-01 金曜日 13時00分～22時00分
2024-03-02 土曜日 13時00分～20時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 13時00分～22時00分
2024-03-05 火曜日 13時00分～22時00分
2024-03-06 水曜日 13時00分～22時00分
"
SOUND STUDIO M 小岩店,新宿区百人町1-23-26　みなみビルＢ１－Ｂ号室,https://dance-studio-lab.com/room/NTc0ZTA0MjMtMDE1OS00OWM1LTk0YzAtODhmYzQ5ZTRhYzgx/detail,1,1046.3,35.6990306,139.697456,大久保駅,184.0,大久保駅|新大久保駅|西武新宿駅|新宿西口駅|西新宿駅|東新宿駅|都庁前駅|新宿駅|新宿三丁目駅|中野坂上駅,新宿区,新宿,1.0,,,,
スタジオジパング大久保,〒169-0073 東京都新宿区百人町１丁目２３ みなみビル B1,,0,1060.2,35.6991668,139.6974992,新大久保駅,331.0,新大久保駅|西武新宿駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:新大久保駅|station:西武新宿駅|station:新宿駅|feature:24h,https://studiozipang.com/okubo-standard/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
サウンドスタジオノア 代々木,〒151-0051 東京都渋谷区千駄ケ谷４丁目２６-５ 代々木ノアビル,,0,1060.5,35.6809855,139.7043183,代々木駅,309.0,代々木駅|新宿駅,渋谷区,渋谷,1.0,area:渋谷|station:代々木駅|station:新宿駅|feature:24h,https://www.studionoah.jp/yoyogi/,03-3408-8819,"2024-02-29 木曜日 9時00分～23時00分
2024-03-01 金曜日 9時00分～23時00分
2024-03-02 土曜日 9時00分～23時00分
2024-03-03 日曜日 9時00分～23時00分
2024-03-04 月曜日 9時00分～23時00分
2024-03-05 火曜日 9時00分～23時00分
2024-03-06 水曜日 9時00分～23時00分
"
"マイレッスン 新宿A,Bスタジオ",〒160-0022 東京都新宿区新宿１丁目１３-１２,,0,1067.2,35.688976,139.711741,新宿駅,1059.0,新宿駅|代々木駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:代々木駅|feature:24h,http://www.my-lesson.jp/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
新宿御苑前スタジオ,〒160-0022 東京都新宿区新宿１丁目１３-１２ FIRST bldg 地下1階 FIRST Bldg.,,0,1071.4,35.6889816,139.7117883,新宿駅,1063.0,新宿駅|代々木駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:代々木駅|feature:24h,https://www.studio-barbie.jp/06/,03-6822-3000,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
レンタルスタジオマイレッスン 新宿御苑前,〒160-0022 東京都新宿区新宿１丁目１７-１,,0,1077.2,35.6891993,139.7118737,新宿駅,1066.0,新宿駅|代々木駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:代々木駅|feature:24h,https://www.my-lesson.jp/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
天空MURAミドルスタジオStudioStyle+,〒160-0023 東京都新宿区西新宿６丁目１２-１６ 天空ＭＵＲＡ一号館,,0,1091.1,35.6933988,139.6887106,新宿駅,1079.0,新宿駅|西武新宿駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:西武新宿駅|feature:24h,https://studiostyle.jp/tenku-middle-studio/,090-8306-7493,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業"
天空MURAダンススタジオStudioStyle+,〒160-0023 東京都新宿区西新宿６丁目１２-１６,,0,1091.3,35.6934023,139.6887103,新宿駅,1079.0,新宿駅|西武新宿駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:西武新宿駅|feature:24h,https://studiostyle.jp/tenku-dance-studio/,090-8306-7493,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業"
ICHIBANGAI Dance Studio,〒160-0022 東京都新宿区新宿１丁目３ 12・B1,,0,1126.8,35.6878166,139.7121969,代々木駅,1059.0,代々木駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:代々木駅|station:新宿駅,http://www.studio1b.jp/,03-6273-1759,
ハレスタジオ参宮橋,〒151-0053 東京都渋谷区代々木４丁目２８-８ 代々木村田マンション 509,,0,1131.0,35.6830743,139.6906292,代々木駅,1031.0,代々木駅,渋谷区,渋谷,1.0,area:渋谷|station:代々木駅|feature:24h,https://www.hale-studio.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=17548285089529494699,090-3874-1762,"2024-02-29 木曜日 7時00分～22時00分
2024-03-01 金曜日 7時00分～22時00分
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 7時00分～22時00分
2024-03-05 火曜日 7時00分～22時00分
2024-03-06 水曜日 7時00分～22時00分
"
ノアスタジオ代々木店,〒151-0051 東京都渋谷区千駄ケ谷４丁目２４-１９,,0,1140.9,35.6809867,139.706346,代々木駅,452.0,代々木駅,渋谷区,渋谷,1.0,area:渋谷|station:代々木駅|feature:24h,https://www.noahstudio.jp/shop/yoyogi/,03-5413-3955,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
東京バレエ劇場,〒169-0073 東京都新宿区百人町１丁目１６-４,,0,1166.0,35.700225,139.69813,新大久保駅,211.0,新大久保駅|西武新宿駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:新大久保駅|station:西武新宿駅|station:新宿駅|feature:24h,http://tokyo-ballet.com/,03-3361-0958,"2024-02-29 木曜日 10時00分～21時00分
2024-03-01 金曜日 10時00分～21時00分
2024-03-02 土曜日 10時30分～16時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 10時00分～21時00分
2024-03-05 火曜日 10時00分～21時00分
2024-03-06 水曜日 10時00分～21時00分
"
studio worcle okubo,〒169-0073 東京都新宿区百人町１丁目２１-５ 新宿Stビル,,0,1176.3,35.7000608,139.6965864,新大久保駅,342.0,新大久保駅|西武新宿駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:新大久保駅|station:西武新宿駅|station:新宿駅|feature:24h,https://www.studioworcle.com/okubo/,03-5358-9082,"2024-02-29 木曜日 9時00分～6時00分
2024-03-01 金曜日 9時00分～6時00分
2024-03-02 土曜日 9時00分～6時00分
2024-03-03 日曜日 9時00分～6時00分
2024-03-04 月曜日 9時00分～6時00分
2024-03-05 火曜日 9時00分～6時00分
2024-03-06 水曜日 9時00分～6時00分"
レンタルダンススタジオ LANDstudio 新宿店,〒169-0073 東京都新宿区百人町１丁目２２-１９ 筒井ビル B1F,,0,1187.5,35.7002941,139.6972499,新大久保駅,276.0,新大久保駅|西武新宿駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:新大久保駅|station:西武新宿駅|station:新宿駅|feature:24h,https://land-studio.jp/?utm_source=gbp&utm_medium=referral,,"LGBTQ フレンドリー2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業"
